DATE,WX_TEMP_MAX,WX_TEMP_MIN,WX_TEMP_AVG,WX_HUMIDITY,WX_CLOUD_COVER,WX_RAINFALL_MM,WX_WIND_KMH,WX_SOLAR_KWH_M2
2026-01-01,33.065296,26.36729,29.716293,67.007805,37.231655,0.0,11.016342,4.43215
2026-01-02,31.433256,25.717463,28.57536,67.77563,33.04757,0.0,9.601573,4.8457303
2026-01-03,33.56288,22.977928,28.270405,57.879345,41.177013,0.0,9.547387,4.533562
2026-01-04,33.77163,23.534094,28.652863,58.478806,39.910076,0.0,11.382196,4.500843
2026-01-05,30.281836,22.348097,26.314966,63.208115,45.196476,0.0,10.528712,4.1139927
2026-01-06,31.040106,23.210653,27.12538,53.751278,31.291986,0.0,12.169679,4.3703227
2026-01-07,32.7353,24.10655,28.420925,59.801167,32.265736,0.0,12.260699,4.9018893
2026-01-08,32.1811,24.986149,28.583626,58.16625,32.209038,0.0,12.041866,4.994939
2026-01-09,32.51867,23.04033,27.7795,60.02832,42.667507,0.0,11.89673,4.408874
2026-01-10,31.492958,23.10416,27.29856,54.45857,48.633587,0.0,13.883264,3.83556
2026-01-11,33.54922,21.599684,27.574453,50.84758,33.287544,0.0,9.892553,4.8368196
2026-01-12,33.404186,23.572752,28.488468,48.60383,33.877842,0.0,11.388432,4.847603
2026-01-13,32.526524,22.66123,27.593878,53.55842,40.112408,0.0,13.146323,4.706705
2026-01-14,33.776,23.182217,28.47911,57.031773,35.963352,0.0,13.320123,4.4064274
2026-01-15,32.959927,22.822598,27.891262,58.042168,45.881325,0.0,9.266272,4.0900493
2026-01-16,31.342955,23.59279,27.467873,69.38036,20.591831,0.0,10.905572,5.422822
2026-01-17,32.79139,21.916716,27.354052,65.413315,32.33916,0.0,13.386069,4.75622
2026-01-18,31.17261,22.19459,26.6836,55.265026,33.04572,0.0,12.085388,4.489477
2026-01-19,33.3514,25.777876,29.564638,62.009098,21.099838,0.0,11.590154,5.3334303
2026-01-20,32.210953,22.34801,27.279482,58.433125,32.316505,0.0,10.944338,4.86149
2026-01-21,32.02226,22.52526,27.27376,59.24748,33.072464,0.0,10.668392,4.7293315
2026-01-22,31.399837,25.44539,28.422615,61.799477,39.15805,0.0,11.649282,4.481805
